posicao (populacao),municipio,populacao,posicao (pib),"PIB(R$1000,00)"
1,São Paulo,12396372,1,699288352
2,Rio de Janeiro,6775561,2,337594462
3,Brasília,3094325,3,244682756
4,Salvador,2900319,9,62717483
5,Fortaleza,2703391,10,61579403
6,Belo Horizonte,2530701,4,88951168
7,Manaus,2255903,8,73201651
8,Curitiba,1963726,5,84702357
9,Recife,1661017,13,51859618
10,Goiânia,1555626,14,49023142
11,Belém,1506420,24,30238484
11,Belém,1506420,2844,170510
11,Belém,1506420,5252,37998
2018,Belém,17733,24,30238484
2018,Belém,17733,2844,170510
2018,Belém,17733,5252,37998
4626,Belém,4226,24,30238484
4626,Belém,4226,2844,170510
4626,Belém,4226,5252,37998
12,Porto Alegre,1492530,7,73862306
13,Guarulhos,1404694,12,55743650
14,Campinas,1223237,11,59053563
15,São Luís,1115932,25,29727650
3421,São Luís,8232,25,29727650
16,São Gonçalo,1098357,50,17225904
17,Maceió,1031597,39,21827917
18,Duque de Caxias,929449,18,40892161
19,Campo Grande,916001,30,27034851
19,Campo Grande,916001,4068,84090
19,Campo Grande,916001,4080,83511
3163,Campo Grande,9686,30,27034851
3163,Campo Grande,9686,4068,84090
3163,Campo Grande,9686,4080,83511
3172,Campo Grande,9576,30,27034851
3172,Campo Grande,9576,4068,84090
3172,Campo Grande,9576,4080,83511
20,Natal,896708,31,23454683
21,Teresina,871126,46,19113870
22,São Bernardo do Campo,849874,16,44680389
23,João Pessoa,825796,43,19737917
24,Nova Iguaçu,825388,53,16833644
25,São José dos Campos,737310,19,39829404
26,Santo André,723889,28,27470680
26,Santo André,723889,5523,24161
5283,Santo André,2496,28,27470680
5283,Santo André,2496,5523,24161
27,Ribeirão Preto,720116,21,35315843
28,Jaboatão dos Guararapes,711330,70,13545569
29,Uberlândia,706597,22,34201962
30,Osasco,701428,6,77910496
31,Sorocaba,695328,23,31852858
32,Contagem,673849,26,28988053
33,Aracaju,672614,57,16373280
34,Feira de Santana,624107,69,13657295
35,Cuiabá,623614,32,23301195
36,Joinville,604708,29,27378205
37,Aparecida de Goiânia,601844,77,12882844
38,Londrina,580870,45,19235188
39,Juiz de Fora,577532,60,15985712
40,Porto Velho,548952,55,16514535
41,Ananindeua,540410,147,6979135
42,Serra,536765,48,18538695
43,Caxias do Sul,523716,40,21717020
44,Macapá,522357,99,9994877
45,Niterói,516981,27,27471324
46,Florianópolis,516524,44,19512519
47,Belford Roxo,515239,132,8187373
48,Campos dos Goytacazes,514643,41,21088777
49,Vila Velha,508655,90,10994894
50,Mauá,481725,58,16286409
51,São João de Meriti,473385,108,9194527
52,São José do Rio Preto,469173,56,16493968
53,Mogi das Cruzes,455587,64,14470623
54,Betim,450024,34,23088153
55,Boa Vista,436591,113,8939317
55,Boa Vista,436591,3367,126809
3671,Boa Vista,7218,113,8939317
3671,Boa Vista,7218,3367,126809
56,Maringá,436472,52,16906177
57,Santos,433991,36,22532672
58,Diadema,429550,73,13412703
59,Jundiaí,426935,17,41227953
60,Rio Branco,419452,133,8151494
60,Rio Branco,419452,4099,82326
4274,Rio Branco,5147,133,8151494
4274,Rio Branco,5147,4099,82326
61,Montes Claros,417478,112,8966059
62,Campina Grande,413830,119,8648690
63,Piracicaba,410275,38,21896872
64,Carapicuíba,405375,181,5494357
65,Anápolis,396526,65,14204319
66,Olinda,393734,184,5438691
67,Cariacica,386495,134,7973675
68,Bauru,381706,67,13771753
69,Itaquaquecetuba,379082,149,6932298
70,São Vicente,370839,192,5204306
70,São Vicente,370839,4550,62947
3868,São Vicente,6476,192,5204306
3868,São Vicente,6476,4550,62947
71,Vitória,369534,42,20255652
72,Caruaru,369343,150,6877208
73,Caucaia,368918,168,5860370
74,Blumenau,366418,59,16008744
75,Petrolina,359372,164,5990719
76,Ponta Grossa,358838,63,14533645
77,Franca,358539,106,9409310
78,Canoas,349728,47,18947513
79,Pelotas,343826,125,8573355
80,Vitória da Conquista,343643,154,6482663
81,Ribeirão das Neves,341415,244,3855401
82,Uberaba,340277,74,13152651
83,Paulista,336919,234,4019150
83,Paulista,336919,3473,119566
2676,Paulista,12411,234,4019150
2676,Paulista,12411,3473,119566
84,Praia Grande,336454,152,6688614
84,Praia Grande,336454,3001,155412
3647,Praia Grande,7305,152,6688614
3647,Praia Grande,7305,3001,155412
85,Cascavel,336073,87,11374861
85,Cascavel,336073,838,895957
459,Cascavel,72706,87,11374861
459,Cascavel,72706,838,895957
86,São José dos Pinhais,334620,35,22581192
87,Guarujá,324977,122,8589741
88,Taubaté,320820,54,16799723
89,Palmas,313349,130,8246273
89,Palmas,313349,701,1103453
652,Palmas,52503,130,8246273
652,Palmas,52503,701,1103453
90,Limeira,310783,81,12154751
91,Camaçari,309208,33,23103227
92,Santarém,308339,201,4835188
93,Petrópolis,307144,78,12811831
94,Mossoró,303792,159,6166119
95,Suzano,303397,92,10761082
96,Taboão da Serra,297528,115,8843886
97,Várzea Grande,290383,135,7892654
97,Várzea Grande,290383,5430,30918
4572,Várzea Grande,4382,135,7892654
4572,Várzea Grande,4382,5430,30918
98,Sumaré,289875,68,13744576
99,Marabá,287664,120,8596000
100,Gravataí,285564,79,12406079
101,Santa Maria,285159,144,7152149
101,Santa Maria,285159,4490,65384
4096,Santa Maria,5689,144,7152149
4096,Santa Maria,5689,4490,65384
102,Governador Valadares,282164,166,5886910
103,Barueri,279704,15,47553589
104,Embu das Artes,279264,82,11713049
105,Juazeiro do Norte,278264,217,4427525
106,Volta Redonda,274925,89,11304596
107,Parnamirim,272490,197,5022894
107,Parnamirim,272490,2912,163949
1610,Parnamirim,22198,197,5022894
1610,Parnamirim,22198,2912,163949
108,Ipatinga,267333,102,9662783
109,Macaé,266136,61,15371353
110,Indaiatuba,260690,71,13489932
111,Imperatriz,259980,153,6599567
112,Foz do Iguaçu,257971,72,13463838
113,Cotia,257882,85,11573369
114,Viamão,257330,262,3564507
115,São Carlos,256915,93,10475655
115,São Carlos,256915,1738,340012
2845,São Carlos,11456,93,10475655
2845,São Carlos,11456,1738,340012
116,São José,253705,97,10131013
117,Colombo,249277,206,4733738
118,Magé,247741,243,3855803
119,Novo Hamburgo,247303,117,8736151
120,Rio Verde,247259,104,9498289
121,Itaboraí,244416,225,4186080
122,Americana,244370,94,10382873
123,Itapevi,244131,84,11597557
124,Sete Lagoas,243950,129,8262636
125,Divinópolis,242505,163,6036935
126,Marília,242249,139,7719607
127,Araraquara,240542,111,9009108
128,São Leopoldo,240378,136,7829272
129,Rondonópolis,239613,103,9598522
130,Hortolândia,237570,76,12928628
131,Jacareí,237119,83,11696354
132,Arapiraca,234309,229,4100975
133,Cabo Frio,234077,121,8593977
134,Presidente Prudente,231953,137,7806813
135,Maracanaú,230986,126,8537588
136,Dourados,227990,128,8327408
137,Chapecó,227587,114,8890178
138,Itajaí,226617,37,21913882
139,Águas Lindas de Goiás,222850,475,1783502
140,Santa Luzia,221705,250,3785138
140,Santa Luzia,221705,1230,547867
140,Santa Luzia,221705,2567,198354
140,Santa Luzia,221705,3998,87787
455,Santa Luzia,73105,250,3785138
455,Santa Luzia,73105,1230,547867
455,Santa Luzia,73105,2567,198354
455,Santa Luzia,73105,3998,87787
2266,Santa Luzia,15470,250,3785138
2266,Santa Luzia,15470,1230,547867
2266,Santa Luzia,15470,2567,198354
2266,Santa Luzia,15470,3998,87787
2693,Santa Luzia,12308,250,3785138
2693,Santa Luzia,12308,1230,547867
2693,Santa Luzia,12308,2567,198354
2693,Santa Luzia,12308,3998,87787
141,Juazeiro,219544,255,3700882
142,Criciúma,219393,145,7146731
